,title,imdb,year,content,runtime,added,GAcAd,GAnimals,GAnimation,GAnime,GAnthology,GBio,GBuddy,GComedy,GComing,GConcert,GCrime,GDance,GDisaster,GDocumentary,GDocuseries,GDrama,GFamily,GFantasy,GFNoir,GGame,GHistorical,GKids,GLifestyle,GMedical,GMusic,GMusical,GMystery,GParody,GPolice,GProcedural,GReality,GRomance,GRomCom,GSciFi,GSoap,GSports,GSpy,GSuperhero,GSurvival,GTalk,GThriller,GTravel,GVariety,GWestern,link
19,A Celebration of the Music from Coco,6.9,2020,TV-PG,48 min,"April 10, 2020",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-celebration-of-the-music-from-coco/
20,A Fan’s Guide to Ms. Marvel,,2022,TV-PG,5 min,"June 1, 2022",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-fans-guide-to-ms-marvel/
21,A Funny Thing Happened on the Way to Thor's Hammer,7.2,2011,TV-14,4 min,"January 21, 2022",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-funny-thing-happened-on-the-way-to-thors-hammer/
22,A Goofy Movie,7.1,1995,G,81 min,"November 12, 2019",True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-goofy-movie/
23,A Kid in King Arthur's Court,4.6,1995,PG,90 min,"November 12, 2019",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-kid-in-king-arthurs-court/
24,A Knight for a Day,6.8,1946,TV-G,7 min,"November 12, 2019",False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-knight-for-a-day/
25,A Muppets Christmas: Letters To Santa,6.4,2008,G,45 min,"November 19, 2021",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-muppets-christmas-letters-to-santa/
26,A Pre-Opening Report from Disneyland,7.4,1955,TV-PG,55 min,"July 17, 2020",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-pre-opening-report-from-disneyland/
27,A Ring of Endless Light,6.0,2002,TV-G,88 min,"November 12, 2019",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-ring-of-endless-light/
28,A Small Light,8.5,2023,TV-14,1 Season,"May 2, 2023",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-small-light/
29,A Spark Story,,2021,TV-PG,88 min,"September 24, 2021",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-spark-story/
30,A Tale of Two Critters,5.7,1977,G,48 min,"April 3, 2020",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-tale-of-two-critters/
31,A Wrinkle in Time,4.3,2018,PG,112 min,"March 25, 2020",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/a-wrinkle-in-time/
32,Adventure Thru the Walt Disney Archives,,2020,TV-PG,59 min,"November 19, 2021",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/adventure-thru-the-walt-disney-archives/
33,Adventures in Babysitting,6.8,1987,TV-PG,102 min,"June 25, 2021",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/adventures-in-babysitting/
34,Adventures in Wonderland,,1996,TV-G,1 Season,"April 30, 2021",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/adventures-in-wonderland/
35,Africa's Deadliest,,2011,TV-14,4 Seasons,"March 8, 2023",False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/africas-deadliest/
36,Agents of S.H.I.E.L.D.,7.4,2013,TV-14,7 Seasons,"March 16, 2022",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/agents-of-s-h-i-e-l-d/
37,Ahsoka,,2023,TV-14,1 Season,"August 23, 2023",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/ahsoka/
38,Air Bud,5.5,1997,PG,98 min,"October 1, 2023",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/air-bud/
39,Air Bud: Golden Receiver,4.7,1998,G,91 min,"October 1, 2023",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/air-bud-golden-receiver/
40,Air Bud: Seventh Inning Fetch,4.3,2002,G,93 min,"October 1, 2023",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/air-bud-seventh-inning-fetch/
41,Air Bud: Spikes Back,3.9,2003,G,87 min,"October 1, 2023",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/air-bud-spikes-back/
42,Air Bud: World Pup,,2000,G,83 min,"October 1, 2023",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://flixable.com/disney-plus/title/air-bud-world-pup/
